date,state,district,bio_age_5_17,bio_age_17_plus
02-12-2025,Haryana,Kurukshetra,161,243
02-12-2025,Haryana,Mahendragarh,184,149
02-12-2025,Haryana,Mewat,408,231
02-12-2025,Haryana,Palwal,296,183
02-12-2025,Haryana,Panchkula,140,93
02-12-2025,Haryana,Panipat,235,290
02-12-2025,Haryana,Rewari,175,148
02-12-2025,Haryana,Rohtak,180,240
02-12-2025,Haryana,Sirsa,306,360
02-12-2025,Haryana,Sonipat,281,240
02-12-2025,Haryana,Yamuna Nagar,247,344
02-12-2025,Haryana,Yamunanagar,0,4
02-12-2025,Himachal Pradesh,Bilaspur,95,51
02-12-2025,Himachal Pradesh,Chamba,187,88
02-12-2025,Himachal Pradesh,Hamirpur,81,54
02-12-2025,Himachal Pradesh,Kangra,641,230
02-12-2025,Himachal Pradesh,Kinnaur,19,13
02-12-2025,Himachal Pradesh,Kullu,134,48
02-12-2025,Himachal Pradesh,Lahaul and Spiti,0,2
02-12-2025,Himachal Pradesh,Lahul & Spiti,4,5
02-12-2025,Himachal Pradesh,Lahul and Spiti,25,1
02-12-2025,Himachal Pradesh,Mandi,294,169
02-12-2025,Himachal Pradesh,Shimla,192,92
02-12-2025,Himachal Pradesh,Sirmaur,85,64
02-12-2025,Himachal Pradesh,Solan,195,70
02-12-2025,Himachal Pradesh,Una,127,105
02-12-2025,Jammu & Kashmir,Baramula,2,0
02-12-2025,Jammu & Kashmir,Doda,1,0
02-12-2025,Jammu & Kashmir,Jammu,1,4
02-12-2025,Jammu & Kashmir,Kathua,1,0
02-12-2025,Jammu & Kashmir,Rajauri,0,1
02-12-2025,Jammu and Kashmir,Anantnag,215,90
02-12-2025,Jammu and Kashmir,Badgam,46,54
02-12-2025,Jammu and Kashmir,Bandipore,99,29
02-12-2025,Jammu and Kashmir,Baramula,304,147
02-12-2025,Jammu and Kashmir,Budgam,219,12
02-12-2025,Jammu and Kashmir,Doda,215,115
02-12-2025,Jammu and Kashmir,Ganderbal,86,28
02-12-2025,Jammu and Kashmir,Jammu,551,184
02-12-2025,Jammu and Kashmir,Kargil,11,1
02-12-2025,Jammu and Kashmir,Kathua,183,83
02-12-2025,Jammu and Kashmir,Kishtwar,79,35
02-12-2025,Jammu and Kashmir,Kulgam,132,36
02-12-2025,Jammu and Kashmir,Kupwara,255,106
02-12-2025,Jammu and Kashmir,Leh,8,10
02-12-2025,Jammu and Kashmir,Pulwama,361,62
02-12-2025,Jammu and Kashmir,Punch,383,86
02-12-2025,Jammu and Kashmir,Rajouri,571,141
02-12-2025,Jammu and Kashmir,Ramban,851,55
02-12-2025,Jammu and Kashmir,Reasi,109,53
02-12-2025,Jammu and Kashmir,Samba,70,25
02-12-2025,Jammu and Kashmir,Shupiyan,136,27
02-12-2025,Jammu and Kashmir,Srinagar,662,230
02-12-2025,Jammu and Kashmir,Udhampur,175,131
02-12-2025,Jharkhand,Bokaro,337,355
02-12-2025,Jharkhand,Chatra,262,203
02-12-2025,Jharkhand,Deoghar,226,178
02-12-2025,Jharkhand,Dhanbad,264,327
02-12-2025,Jharkhand,Dumka,179,179
02-12-2025,Jharkhand,East Singhbhum,306,331
02-12-2025,Jharkhand,Garhwa,324,356
02-12-2025,Jharkhand,Garhwa *,6,30
02-12-2025,Jharkhand,Giridih,335,253
02-12-2025,Jharkhand,Godda,290,183
02-12-2025,Jharkhand,Gumla,303,242
02-12-2025,Jharkhand,Hazaribag,18,35
02-12-2025,Jharkhand,Hazaribagh,316,248
02-12-2025,Jharkhand,Jamtara,127,107
02-12-2025,Jharkhand,Khunti,120,140
02-12-2025,Jharkhand,Kodarma,17,23
02-12-2025,Jharkhand,Koderma,138,99
02-12-2025,Jharkhand,Latehar,154,153
02-12-2025,Jharkhand,Lohardaga,97,124
02-12-2025,Jharkhand,Pakaur,2,4
02-12-2025,Jharkhand,Pakur,95,56
02-12-2025,Jharkhand,Palamau,6,22
02-12-2025,Jharkhand,Palamu,371,307
02-12-2025,Jharkhand,Pashchimi Singhbhum,13,51
02-12-2025,Jharkhand,Purbi Singhbhum,11,54
02-12-2025,Jharkhand,Ramgarh,117,142
02-12-2025,Jharkhand,Ranchi,330,421
02-12-2025,Jharkhand,Sahebganj,240,146
02-12-2025,Jharkhand,Sahibganj,7,24
02-12-2025,Jharkhand,Seraikela-Kharsawan,205,195
02-12-2025,Jharkhand,Seraikela-kharsawan,11,49
02-12-2025,Jharkhand,Simdega,116,186
02-12-2025,Jharkhand,West Singhbhum,274,409
02-12-2025,Karnataka,Bagalkot,363,294
02-12-2025,Karnataka,Bagalkot *,9,7
02-12-2025,Karnataka,Ballari,333,75
02-12-2025,Karnataka,Bangalore,444,814
02-12-2025,Karnataka,Bangalore Rural,196,172
02-12-2025,Karnataka,Belagavi,879,131
02-12-2025,Karnataka,Belgaum,533,442
02-12-2025,Karnataka,Bellary,286,298
02-12-2025,Karnataka,Bengaluru,1779,786
02-12-2025,Karnataka,Bengaluru South,1,0
02-12-2025,Karnataka,Bidar,655,336
02-12-2025,Karnataka,Bijapur,224,258
02-12-2025,Karnataka,Bijapur(KAR),1,0
02-12-2025,Karnataka,Chamarajanagar,5,9
02-12-2025,Karnataka,Chamrajanagar,163,138
02-12-2025,Karnataka,Chamrajnagar,12,25
02-12-2025,Karnataka,Chickmagalur,70,146
02-12-2025,Karnataka,Chikkaballapur,219,209
02-12-2025,Karnataka,Chikkamagaluru,111,36
02-12-2025,Karnataka,Chikmagalur,1,13
02-12-2025,Karnataka,Chitradurga,344,253
02-12-2025,Karnataka,Dakshina Kannada,515,201
02-12-2025,Karnataka,Davanagere,5,45
02-12-2025,Karnataka,Davangere,325,296
02-12-2025,Karnataka,Dharwad,330,257
02-12-2025,Karnataka,Gadag,228,141
02-12-2025,Karnataka,Gadag *,7,11
02-12-2025,Karnataka,Gulbarga,295,409
02-12-2025,Karnataka,Hasan,26,129
02-12-2025,Karnataka,Hassan,302,168
02-12-2025,Karnataka,Haveri,323,251
02-12-2025,Karnataka,Haveri *,3,16
02-12-2025,Karnataka,Kalaburagi,672,208
02-12-2025,Karnataka,Kodagu,70,57
02-12-2025,Karnataka,Kolar,438,270
02-12-2025,Karnataka,Koppal,283,188
02-12-2025,Karnataka,Mandya,390,253
02-12-2025,Karnataka,Mysore,162,267
02-12-2025,Karnataka,Mysuru,486,121
02-12-2025,Karnataka,Raichur,695,484
02-12-2025,Karnataka,Ramanagar,217,133
02-12-2025,Karnataka,Shimoga,46,137
02-12-2025,Karnataka,Shivamogga,245,76
02-12-2025,Karnataka,Tumakuru,321,101
02-12-2025,Karnataka,Tumkur,201,400
02-12-2025,Karnataka,Udupi,167,93
02-12-2025,Karnataka,Uttara Kannada,259,133
02-12-2025,Karnataka,Vijayanagara,39,37
02-12-2025,Karnataka,Vijayapura,426,101
02-12-2025,Karnataka,Yadgir,346,226
02-12-2025,Karnataka,yadgir,4,53
02-12-2025,Kerala,Alappuzha,258,302
02-12-2025,Kerala,Ernakulam,901,498
02-12-2025,Kerala,Idukki,405,177
02-12-2025,Kerala,Kannur,362,449
02-12-2025,Kerala,Kasaragod,418,229
02-12-2025,Kerala,Kasargod,8,30
02-12-2025,Kerala,Kollam,710,468
02-12-2025,Kerala,Kottayam,522,280
02-12-2025,Kerala,Kozhikode,926,680
02-12-2025,Kerala,Malappuram,702,966
02-12-2025,Kerala,Palakkad,435,601
02-12-2025,Kerala,Pathanamthitta,154,201
02-12-2025,Kerala,Thiruvananthapuram,436,444
02-12-2025,Kerala,Thrissur,358,449
02-12-2025,Kerala,Wayanad,96,161
02-12-2025,Ladakh,Kargil,10,6
02-12-2025,Ladakh,Leh,4,10
02-12-2025,Lakshadweep,Lakshadweep,29,13
02-12-2025,Madhya Pradesh,Agar Malwa,23,102
02-12-2025,Madhya Pradesh,Alirajpur,154,173
02-12-2025,Madhya Pradesh,Anuppur,141,183
02-12-2025,Madhya Pradesh,Ashok Nagar,140,153
02-12-2025,Madhya Pradesh,Balaghat,1044,199
02-12-2025,Madhya Pradesh,Barwani,277,235
02-12-2025,Madhya Pradesh,Betul,488,445
02-12-2025,Madhya Pradesh,Bhind,263,236
02-12-2025,Madhya Pradesh,Bhopal,620,600
02-12-2025,Madhya Pradesh,Burhanpur,263,158
02-12-2025,Madhya Pradesh,Chhatarpur,373,405
02-12-2025,Madhya Pradesh,Chhindwara,812,496
02-12-2025,Madhya Pradesh,Damoh,273,285
02-12-2025,Madhya Pradesh,Datia,127,105
02-12-2025,Madhya Pradesh,Dewas,419,344
02-12-2025,Madhya Pradesh,Dhar,373,357
02-12-2025,Madhya Pradesh,Dindori,173,136
02-12-2025,Madhya Pradesh,East Nimar,70,159
02-12-2025,Madhya Pradesh,Guna,268,285
02-12-2025,Madhya Pradesh,Gwalior,486,303
02-12-2025,Madhya Pradesh,Harda,87,90
02-12-2025,Madhya Pradesh,Harda *,8,40
02-12-2025,Madhya Pradesh,Hoshangabad,134,238
02-12-2025,Madhya Pradesh,Indore,972,733
02-12-2025,Madhya Pradesh,Jabalpur,948,593
02-12-2025,Madhya Pradesh,Jhabua,255,180
02-12-2025,Madhya Pradesh,Katni,435,270
02-12-2025,Madhya Pradesh,Khandwa,182,118
02-12-2025,Madhya Pradesh,Khargone,332,426
02-12-2025,Madhya Pradesh,Maihar,0,15
02-12-2025,Madhya Pradesh,Mandla,225,166
02-12-2025,Madhya Pradesh,Mandsaur,221,226
02-12-2025,Madhya Pradesh,Mauganj,1,9
02-12-2025,Madhya Pradesh,Morena,448,276
02-12-2025,Madhya Pradesh,Narmadapuram,5,24
02-12-2025,Madhya Pradesh,Narsimhapur,16,44
02-12-2025,Madhya Pradesh,Narsinghpur,270,128
02-12-2025,Madhya Pradesh,Neemuch,188,110
02-12-2025,Madhya Pradesh,Niwari,7,9
02-12-2025,Madhya Pradesh,Pandhurna,4,3
02-12-2025,Madhya Pradesh,Panna,196,242
02-12-2025,Madhya Pradesh,Raisen,216,284
02-12-2025,Madhya Pradesh,Rajgarh,353,384
02-12-2025,Madhya Pradesh,Ratlam,1208,237
02-12-2025,Madhya Pradesh,Rewa,421,424
02-12-2025,Madhya Pradesh,Sagar,567,473
02-12-2025,Madhya Pradesh,Satna,608,483
02-12-2025,Madhya Pradesh,Sehore,392,263
02-12-2025,Madhya Pradesh,Seoni,276,207
02-12-2025,Madhya Pradesh,Shahdol,475,284
02-12-2025,Madhya Pradesh,Shajapur,248,295
02-12-2025,Madhya Pradesh,Sheopur,165,137
02-12-2025,Madhya Pradesh,Shivpuri,280,452
02-12-2025,Madhya Pradesh,Sidhi,199,238
02-12-2025,Madhya Pradesh,Singrauli,247,172
02-12-2025,Madhya Pradesh,Tikamgarh,323,321
02-12-2025,Madhya Pradesh,Ujjain,982,394
02-12-2025,Madhya Pradesh,Umaria,144,115
02-12-2025,Madhya Pradesh,Vidisha,400,356
02-12-2025,Madhya Pradesh,West Nimar,14,66
02-12-2025,Maharashtra,Ahmadnagar,2013,1430
02-12-2025,Maharashtra,Ahmed Nagar,13,58
02-12-2025,Maharashtra,Akola,390,547
02-12-2025,Maharashtra,Amravati,888,1138
02-12-2025,Maharashtra,Aurangabad,1263,1201
02-12-2025,Maharashtra,Beed,1550,703
02-12-2025,Maharashtra,Bhandara,313,387
02-12-2025,Maharashtra,Bid,10,65
02-12-2025,Maharashtra,Buldana,19,146
02-12-2025,Maharashtra,Buldhana,721,628
02-12-2025,Maharashtra,Chandrapur,1184,661
02-12-2025,Maharashtra,Chatrapati Sambhaji Nagar,4,10
02-12-2025,Maharashtra,Chhatrapati Sambhajinagar,4,26
02-12-2025,Maharashtra,Dharashiv,1,3
02-12-2025,Maharashtra,Dhule,647,680
02-12-2025,Maharashtra,Gadchiroli,513,759
02-12-2025,Maharashtra,Gondia,1,14
02-12-2025,Maharashtra,Gondiya,339,366
02-12-2025,Maharashtra,Gondiya *,1,23
02-12-2025,Maharashtra,Hingoli,735,407
02-12-2025,Maharashtra,Jalgaon,1776,928
02-12-2025,Maharashtra,Jalna,831,724
02-12-2025,Maharashtra,Kolhapur,1183,871
02-12-2025,Maharashtra,Latur,636,768
02-12-2025,Maharashtra,Mumbai,1318,2186
02-12-2025,Maharashtra,Mumbai City,498,100
02-12-2025,Maharashtra,Mumbai Suburban,1610,448
02-12-2025,Maharashtra,Mumbai( Sub Urban ),7,70
02-12-2025,Maharashtra,Nagpur,924,1109
02-12-2025,Maharashtra,Nanded,1367,1092
02-12-2025,Maharashtra,Nandurbar,341,451
02-12-2025,Maharashtra,Nandurbar *,0,12
02-12-2025,Maharashtra,Nashik,2084,2375
02-12-2025,Maharashtra,Osmanabad,796,445
02-12-2025,Maharashtra,Palghar,1248,463
02-12-2025,Maharashtra,Parbhani,771,546
02-12-2025,Maharashtra,Pune,3720,2227
02-12-2025,Maharashtra,Raigad,78,66
02-12-2025,Maharashtra,Raigarh,1077,547
02-12-2025,Maharashtra,Raigarh(MH),0,7
02-12-2025,Maharashtra,Ratnagiri,601,517
02-12-2025,Maharashtra,Sangli,930,778
02-12-2025,Maharashtra,Satara,879,702
02-12-2025,Maharashtra,Sindhudurg,256,168
02-12-2025,Maharashtra,Solapur,2106,1119
02-12-2025,Maharashtra,Thane,2534,2694
02-12-2025,Maharashtra,Wardha,461,480
02-12-2025,Maharashtra,Washim,462,640
02-12-2025,Maharashtra,Washim *,0,16
02-12-2025,Maharashtra,Yavatmal,998,1356
02-12-2025,Manipur,Bishnupur,61,23
02-12-2025,Manipur,Chandel,18,14
02-12-2025,Manipur,Churachandpur,132,32
02-12-2025,Manipur,Imphal East,243,170
02-12-2025,Manipur,Imphal West,285,155
02-12-2025,Manipur,Jiribam,1,3
02-12-2025,Manipur,Kakching,2,1
02-12-2025,Manipur,Senapati,126,71
02-12-2025,Manipur,Tamenglong,18,15
02-12-2025,Manipur,Thoubal,215,73
02-12-2025,Manipur,Ukhrul,38,27
02-12-2025,Meghalaya,East Garo Hills,10,5
02-12-2025,Meghalaya,East Jaintia Hills,12,5
02-12-2025,Meghalaya,East Khasi Hills,52,34
02-12-2025,Meghalaya,North Garo Hills,6,1
02-12-2025,Meghalaya,Ri Bhoi,14,12
02-12-2025,Meghalaya,South Garo Hills,8,8
02-12-2025,Meghalaya,South West Garo Hills,18,14
02-12-2025,Meghalaya,South West Khasi Hills,15,9
02-12-2025,Meghalaya,West Garo Hills,52,54
02-12-2025,Meghalaya,West Jaintia Hills,29,6
02-12-2025,Meghalaya,West Khasi Hills,19,13
02-12-2025,Mizoram,Aizawl,289,43
02-12-2025,Mizoram,Champhai,29,12
02-12-2025,Mizoram,Hnahthial,3,0
02-12-2025,Mizoram,Kolasib,68,9
02-12-2025,Mizoram,Lawngtlai,91,7
02-12-2025,Mizoram,Lunglei,20,5
02-12-2025,Mizoram,Mamit,22,9
02-12-2025,Mizoram,Mammit,7,2
02-12-2025,Mizoram,Saiha,8,7
02-12-2025,Mizoram,Saitual,1,0
02-12-2025,Mizoram,Serchhip,19,6
02-12-2025,Nagaland,Chumukedima,4,1
02-12-2025,Nagaland,Dimapur,203,71
02-12-2025,Nagaland,Kiphire,7,7
02-12-2025,Nagaland,Kohima,9,41
02-12-2025,Nagaland,Longleng,8,14
02-12-2025,Nagaland,Meluri,1,4
02-12-2025,Nagaland,Mokokchung,14,25
02-12-2025,Nagaland,Mon,23,50
02-12-2025,Nagaland,Niuland,5,0
02-12-2025,Nagaland,Noklak,1,2
02-12-2025,Nagaland,Peren,21,8
02-12-2025,Nagaland,Phek,8,22
02-12-2025,Nagaland,Shamator,0,1
02-12-2025,Nagaland,Tuensang,21,23
02-12-2025,Nagaland,Wokha,15,16
02-12-2025,Nagaland,Zunheboto,8,25
02-12-2025,Odisha,Angul,321,144
02-12-2025,Odisha,Anugul,5,12
02-12-2025,Odisha,Balangir,380,191
02-12-2025,Odisha,Baleshwar,75,102
02-12-2025,Odisha,Baleswar,559,198
02-12-2025,Odisha,Bargarh,365,158
02-12-2025,Odisha,Baudh,13,18
02-12-2025,Odisha,Bhadrak,350,148
02-12-2025,Odisha,Boudh,119,41
02-12-2025,Odisha,Cuttack,537,263
02-12-2025,Odisha,Debagarh,125,38
02-12-2025,Odisha,Dhenkanal,432,132
02-12-2025,Odisha,Gajapati,202,87
02-12-2025,Odisha,Ganjam,1141,420
02-12-2025,Odisha,JAJPUR,187,42
02-12-2025,Odisha,Jagatsinghapur,447,79
02-12-2025,Odisha,Jagatsinghpur,83,60
02-12-2025,Odisha,Jajapur,162,142
02-12-2025,Odisha,Jharsuguda,181,60
02-12-2025,Odisha,Kalahandi,369,159
02-12-2025,Odisha,Kandhamal,355,105
02-12-2025,Odisha,Kendrapara,389,123
02-12-2025,Odisha,Kendujhar,352,228
02-12-2025,Odisha,Khorda,580,150
02-12-2025,Odisha,Khordha,35,58
02-12-2025,Odisha,Koraput,352,235
02-12-2025,Odisha,Malkangiri,315,85
02-12-2025,Odisha,Mayurbhanj,957,353
02-12-2025,Odisha,NUAPADA,2,1
02-12-2025,Odisha,Nabarangapur,336,182
02-12-2025,Odisha,Nayagarh,237,121
02-12-2025,Odisha,Nuapada,185,90
02-12-2025,Odisha,Puri,525,161
02-12-2025,Odisha,Rayagada,334,122
02-12-2025,Odisha,Sambalpur,220,136
02-12-2025,Odisha,Sonapur,100,37
02-12-2025,Odisha,Subarnapur,17,18
02-12-2025,Odisha,Sundargarh,26,73
02-12-2025,Odisha,Sundergarh,341,205
02-12-2025,Odisha,jajpur,2,3
02-12-2025,Orissa,Anugul,3,0
02-12-2025,Orissa,Balangir,27,44
02-12-2025,Orissa,Baleshwar,17,20
02-12-2025,Orissa,Baleswar,1,0
02-12-2025,Orissa,Bargarh,4,4
02-12-2025,Orissa,Bhadrak,4,40
02-12-2025,Orissa,Cuttack,10,38
02-12-2025,Orissa,Dhenkanal,6,0
02-12-2025,Orissa,Gajapati,0,1
02-12-2025,Orissa,Ganjam,32,36
02-12-2025,Orissa,Jagatsinghapur,2,2
02-12-2025,Orissa,Jajapur,1,0
02-12-2025,Orissa,Jharsuguda,1,0
02-12-2025,Orissa,Kandhamal,3,3
02-12-2025,Orissa,Kendrapara,1,2
02-12-2025,Orissa,Kendujhar,1,1
02-12-2025,Orissa,Khordha,23,73
02-12-2025,Orissa,Koraput,8,10
02-12-2025,Orissa,Malkangiri,0,2
02-12-2025,Orissa,Mayurbhanj,0,1
02-12-2025,Orissa,Nayagarh,5,6
02-12-2025,Orissa,Puri,14,21
02-12-2025,Orissa,Rayagada,4,8
02-12-2025,Orissa,Sambalpur,3,2
02-12-2025,Orissa,Sundargarh,3,14
02-12-2025,Pondicherry,Karaikal,0,27
02-12-2025,Pondicherry,Pondicherry,54,115
02-12-2025,Pondicherry,Yanam,0,1
02-12-2025,Puducherry,Karaikal,52,46
02-12-2025,Puducherry,Pondicherry,0,1
02-12-2025,Puducherry,Puducherry,152,69
02-12-2025,Puducherry,Yanam,1,1
02-12-2025,Punjab,Amritsar,639,411
02-12-2025,Punjab,Barnala,253,89
02-12-2025,Punjab,Bathinda,740,273
02-12-2025,Punjab,Faridkot,195,148
02-12-2025,Punjab,Fatehgarh Sahib,294,129
02-12-2025,Punjab,Fazilka,441,142
02-12-2025,Punjab,Ferozepur,349,131
02-12-2025,Punjab,Firozpur,36,62
02-12-2025,Punjab,Gurdaspur,387,401
02-12-2025,Punjab,Hoshiarpur,543,315
02-12-2025,Punjab,Jalandhar,880,393
02-12-2025,Punjab,Kapurthala,385,156
02-12-2025,Punjab,Ludhiana,977,517
02-12-2025,Punjab,Malerkotla,49,29
02-12-2025,Punjab,Mansa,259,141
02-12-2025,Punjab,Moga,351,201
02-12-2025,Punjab,Muktsar,17,59
02-12-2025,Punjab,Nawanshahr,3,71
02-12-2025,Punjab,Pathankot,225,58
02-12-2025,Punjab,Patiala,451,293
02-12-2025,Punjab,Rupnagar,302,160
02-12-2025,Punjab,S.A.S Nagar(Mohali),4,18
02-12-2025,Punjab,SAS Nagar (Mohali),153,151
02-12-2025,Punjab,Sangrur,624,230
02-12-2025,Punjab,Shaheed Bhagat Singh Nagar,254,95
02-12-2025,Punjab,Sri Muktsar Sahib,434,175
02-12-2025,Punjab,Tarn Taran,417,218
02-12-2025,Rajasthan,Ajmer,574,447
02-12-2025,Rajasthan,Alwar,1048,611
02-12-2025,Rajasthan,Balotra,0,1
02-12-2025,Rajasthan,Banswara,447,299
02-12-2025,Rajasthan,Baran,244,413
02-12-2025,Rajasthan,Barmer,963,521
02-12-2025,Rajasthan,Bharatpur,508,399
02-12-2025,Rajasthan,Bhilwara,667,599
02-12-2025,Rajasthan,Bikaner,523,449
02-12-2025,Rajasthan,Bundi,243,274
02-12-2025,Rajasthan,Chittaurgarh,14,21
02-12-2025,Rajasthan,Chittorgarh,298,195
02-12-2025,Rajasthan,Churu,650,410
02-12-2025,Rajasthan,Dausa,397,311
02-12-2025,Rajasthan,Deeg,0,1
02-12-2025,Rajasthan,Dhaulpur,1,2
02-12-2025,Rajasthan,Dholpur,286,208
02-12-2025,Rajasthan,Dungarpur,307,284
02-12-2025,Rajasthan,Ganganagar,361,367
02-12-2025,Rajasthan,Hanumangarh,345,356
02-12-2025,Rajasthan,Jaipur,1222,1218
02-12-2025,Rajasthan,Jaisalmer,163,83
02-12-2025,Rajasthan,Jalor,444,348
02-12-2025,Rajasthan,Jalore,0,2
02-12-2025,Rajasthan,Jhalawar,315,427
02-12-2025,Rajasthan,Jhunjhunu,9,18
02-12-2025,Rajasthan,Jhunjhunun,371,360
02-12-2025,Rajasthan,Jodhpur,863,549
02-12-2025,Rajasthan,Karauli,400,191
02-12-2025,Rajasthan,Kota,251,339
02-12-2025,Rajasthan,Kotputli-Behror,0,1
02-12-2025,Rajasthan,Nagaur,835,695
02-12-2025,Rajasthan,Pali,456,536
02-12-2025,Rajasthan,Pratapgarh,207,195
02-12-2025,Rajasthan,Rajsamand,219,211
02-12-2025,Rajasthan,Sawai Madhopur,278,298
02-12-2025,Rajasthan,Sikar,434,479
02-12-2025,Rajasthan,Sirohi,301,257
02-12-2025,Rajasthan,Tonk,278,276
02-12-2025,Rajasthan,Udaipur,659,682
02-12-2025,Sikkim,East,9,13
02-12-2025,Sikkim,East Sikkim,11,8
02-12-2025,Sikkim,North,1,2
02-12-2025,Sikkim,North Sikkim,8,3
02-12-2025,Sikkim,South,8,12
02-12-2025,Sikkim,South Sikkim,9,1
02-12-2025,Sikkim,West,7,9
02-12-2025,Sikkim,West Sikkim,7,1
02-12-2025,Tamil Nadu,Ariyalur,242,155
02-12-2025,Tamil Nadu,Chengalpattu,117,12
02-12-2025,Tamil Nadu,Chennai,1834,426
02-12-2025,Tamil Nadu,Coimbatore,1002,723
02-12-2025,Tamil Nadu,Cuddalore,1684,437
02-12-2025,Tamil Nadu,Dharmapuri,782,255
02-12-2025,Tamil Nadu,Dindigul,705,646
02-12-2025,Tamil Nadu,Erode,651,473
02-12-2025,Tamil Nadu,Kallakurichi,47,18
02-12-2025,Tamil Nadu,Kancheepuram,1759,577
02-12-2025,Tamil Nadu,Kanniyakumari,336,197
02-12-2025,Tamil Nadu,Kanyakumari,396,48
02-12-2025,Tamil Nadu,Karur,200,168
02-12-2025,Tamil Nadu,Krishnagiri,891,375
02-12-2025,Tamil Nadu,Madurai,1450,512
02-12-2025,Tamil Nadu,Mayiladuthurai,46,5
02-12-2025,Tamil Nadu,Nagapattinam,295,266
02-12-2025,Tamil Nadu,Namakkal,879,405
02-12-2025,Tamil Nadu,Perambalur,164,204
02-12-2025,Tamil Nadu,Pudukkottai,753,394
02-12-2025,Tamil Nadu,Ramanathapuram,401,213
02-12-2025,Tamil Nadu,Ranipet,5,1
02-12-2025,Tamil Nadu,Salem,1502,546
02-12-2025,Tamil Nadu,Sivaganga,477,228
02-12-2025,Tamil Nadu,Tenkasi,144,14
02-12-2025,Tamil Nadu,Thanjavur,745,305
02-12-2025,Tamil Nadu,The Nilgiris,452,137
02-12-2025,Tamil Nadu,Theni,335,179
02-12-2025,Tamil Nadu,Thiruvallur,12,19
02-12-2025,Tamil Nadu,Thiruvarur,233,167
02-12-2025,Tamil Nadu,Thoothukkudi,1286,347
02-12-2025,Tamil Nadu,Tiruchirappalli,659,612
02-12-2025,Tamil Nadu,Tirunelveli,1386,619
02-12-2025,Tamil Nadu,Tirupattur,157,15
02-12-2025,Tamil Nadu,Tiruppur,772,403
02-12-2025,Tamil Nadu,Tiruvallur,1681,360
02-12-2025,Tamil Nadu,Tiruvannamalai,562,279
02-12-2025,Tamil Nadu,Tiruvarur,0,1
02-12-2025,Tamil Nadu,Vellore,1327,628
02-12-2025,Tamil Nadu,Villupuram,976,218
02-12-2025,Tamil Nadu,Viluppuram,217,556
02-12-2025,Tamil Nadu,Virudhunagar,533,363
02-12-2025,Telangana,Adilabad,543,161
02-12-2025,Telangana,Bhadradri Kothagudem,269,55
02-12-2025,Telangana,Hanumakonda,15,21
02-12-2025,Telangana,Hyderabad,2187,626
02-12-2025,Telangana,Jagitial,203,16
02-12-2025,Telangana,Jangaon,2,0
02-12-2025,Telangana,Jangoan,131,14
02-12-2025,Telangana,Jayashankar Bhupalpally,24,6
02-12-2025,Telangana,Jogulamba Gadwal,110,23
02-12-2025,Telangana,K.v. Rangareddy,1468,581
02-12-2025,Telangana,Kamareddy,88,31
02-12-2025,Telangana,Karimnagar,702,252
02-12-2025,Telangana,Khammam,507,90
02-12-2025,Telangana,Komaram Bheem,88,22
02-12-2025,Telangana,Mahabubabad,53,8
02-12-2025,Telangana,Mahabubnagar,946,394
02-12-2025,Telangana,Mancherial,135,25
02-12-2025,Telangana,Medak,415,173
02-12-2025,Telangana,Medchal-malkajgiri,109,51
02-12-2025,Telangana,Medchal−malkajgiri,74,21
02-12-2025,Telangana,Mulugu,13,9
02-12-2025,Telangana,Nagarkurnool,69,12
02-12-2025,Telangana,Nalgonda,638,215
02-12-2025,Telangana,Narayanpet,17,12
02-12-2025,Telangana,Nirmal,55,39
02-12-2025,Telangana,Nizamabad,585,147
02-12-2025,Telangana,Peddapalli,10,9
02-12-2025,Telangana,Rajanna Sircilla,69,12
02-12-2025,Telangana,Rangareddy,3,3
02-12-2025,Telangana,Sangareddy,160,19
02-12-2025,Telangana,Siddipet,108,18
02-12-2025,Telangana,Suryapet,48,16
02-12-2025,Telangana,Vikarabad,63,11
02-12-2025,Telangana,Wanaparthy,19,2
02-12-2025,Telangana,Warangal,423,110
02-12-2025,Telangana,Warangal Rural,57,11
02-12-2025,Telangana,Warangal Urban,43,6
02-12-2025,Telangana,Yadadri.,108,19
02-12-2025,Tripura,Dhalai,185,53
02-12-2025,Tripura,Dhalai  *,1,2
02-12-2025,Tripura,Gomati,76,10
02-12-2025,Tripura,Khowai,106,7
02-12-2025,Tripura,North Tripura,223,97
02-12-2025,Tripura,Sepahijala,142,28
02-12-2025,Tripura,South Tripura,222,152
02-12-2025,Tripura,Unakoti,100,20
02-12-2025,Tripura,West Tripura,291,193
02-12-2025,Uttar Pradesh,Agra,623,436
02-12-2025,Uttar Pradesh,Aligarh,861,317
02-12-2025,Uttar Pradesh,Allahabad,866,518
02-12-2025,Uttar Pradesh,Ambedkar Nagar,398,224
02-12-2025,Uttar Pradesh,Amethi,436,178
02-12-2025,Uttar Pradesh,Amroha,413,238
02-12-2025,Uttar Pradesh,Auraiya,188,85
02-12-2025,Uttar Pradesh,Ayodhya,38,22
02-12-2025,Uttar Pradesh,Azamgarh,556,406
02-12-2025,Uttar Pradesh,Baghpat,208,127
02-12-2025,Uttar Pradesh,Bahraich,1066,386
02-12-2025,Uttar Pradesh,Ballia,405,299
02-12-2025,Uttar Pradesh,Balrampur,574,280
02-12-2025,Uttar Pradesh,Banda,385,270
02-12-2025,Uttar Pradesh,Bara Banki,1023,425
